caldt;t30ret
2002-01-31;0.00139
2002-02-28;0.001285
2002-03-28;0.001341
2002-04-30;0.001546
2002-05-31;0.001442
2002-06-28;0.001312
2002-07-31;0.001507
2002-08-30;0.001402
2002-09-30;0.001414
2002-10-31;0.001334
2002-11-29;0.001166
2002-12-31;0.001079
2003-01-31;0.000934
2003-02-28;0.000871
2003-03-31;0.00102
2003-04-30;0.000939
2003-05-30;0.000903
2003-06-30;0.000984
2003-07-31;0.000674
2003-08-29;0.000689
2003-09-30;0.000865
2003-10-31;0.0007
2003-11-28;0.000725
2003-12-31;0.000831
2004-01-30;0.000696
2004-02-27;0.000623
2004-03-31;0.000844
2004-04-30;0.000795
2004-05-28;0.000603
2004-06-30;0.000817
2004-07-30;0.000919
2004-08-31;0.001116
2004-09-30;0.001185
2004-10-29;0.001129
2004-11-30;0.001541
2004-12-31;0.001672
2005-01-31;0.001661
2005-02-28;0.001641
2005-03-31;0.002123
2005-04-29;0.002072
2005-05-31;0.002395
2005-06-30;0.002263
2005-07-29;0.002383
2005-08-31;0.00292
2005-09-30;0.002848
2005-10-31;0.002728
2005-11-30;0.003045
2005-12-30;0.00316
2006-01-31;0.003488
2006-02-28;0.003322
2006-03-31;0.003642
2006-04-28;0.003559
2006-05-31;0.004195
2006-06-30;0.00397
2006-07-31;0.003976
2006-08-31;0.004283
2006-09-29;0.004047
2006-10-31;0.004076
2006-11-30;0.004243
2006-12-29;0.004036
2007-01-31;0.004328
2007-02-28;0.003837
2007-03-30;0.004257
2007-04-30;0.004348
2007-05-31;0.004046
2007-06-29;0.003918
2007-07-31;0.003962
2007-08-31;0.004205
2007-09-28;0.003347
2007-10-31;0.003212
2007-11-30;0.003395
2007-12-31;0.002921
2008-01-31;0.00243
2008-02-29;0.001325
2008-03-31;0.001869
2008-04-30;0.001025
2008-05-30;0.000946
2008-06-30;0.00175
2008-07-31;0.00144
2008-08-29;0.001282
2008-09-30;0.00153
2008-10-31;0.000792
2008-11-28;0.000228
2008-12-31;2.9e-05
2009-01-30;2.3e-05
2009-02-27;0.000147
2009-03-31;0.000159
2009-04-30;0.000125
2009-05-29;1.7e-05
2009-06-30;7.5e-05
2009-07-31;0.000119
2009-08-31;0.000116
2009-09-30;7.9e-05
2009-10-30;4e-05
2009-11-30;4e-06
2009-12-31;6.2e-05
2010-01-29;2.8e-05
2010-02-26;1e-05
2010-03-31;6.8e-05
2010-04-30;0.000111
2010-05-28;0.000112
2010-06-30;0.000127
2010-07-30;0.000142
2010-08-31;0.000126
2010-09-30;0.000125
2010-10-29;0.000112
2010-11-30;0.000114
2010-12-31;0.00014
2011-01-31;6.6e-05
2011-02-28;0.000122
2011-03-31;6.7e-05
2011-04-29;5.3e-05
2011-05-31;1.3e-05
2011-06-30;3.5e-05
2011-07-29;-2.8e-05
2011-08-31;8.3e-05
2011-09-30;-1e-06
2011-10-31;1.4e-05
2011-11-30;4e-06
2011-12-30;0.0
2012-01-31;-2e-06
2012-02-29;3.1e-05
2012-03-30;4.6e-05
2012-04-30;2.9e-05
2012-05-31;6.5e-05
2012-06-29;2.2e-05
2012-07-31;3.2e-05
2012-08-31;5e-05
2012-09-28;6.7e-05
2012-10-31;3.7e-05
2012-11-30;8.5e-05
2012-12-31;0.000103
2013-01-31;2.2e-05
2013-02-28;5.4e-05
2013-03-28;4.1e-05
2013-04-30;3.7e-05
2013-05-31;1.2e-05
2013-06-28;1.3e-05
2013-07-31;9e-06
2013-08-30;9e-06
2013-09-30;8e-06
2013-10-31;1.7e-05
2013-11-29;3.2e-05
2013-12-31;2.3e-05
2014-01-31;1.2e-05
2014-02-28;4.5e-05
2014-03-31;2.8e-05
2014-04-30;1.5e-05
2014-05-30;8e-06
2014-06-30;2e-05
2014-07-31;1.3e-05
2014-08-29;3e-06
2014-09-30;4e-06
2014-10-31;1.2e-05
2014-11-28;-1e-06
2014-12-31;5e-06
2015-01-30;1.3e-05
2015-02-27;-2.1e-05
2015-03-31;-8e-06
2015-04-30;2.9e-05
2015-05-29;-5e-06
2015-06-30;4e-06
2015-07-31;-3.7e-05
2015-08-31;2.7e-05
2015-09-30;-6e-06
2015-10-30;-2.7e-05
2015-11-30;2e-05
2015-12-31;0.000103
2016-01-29;3.7e-05
2016-02-29;0.000205
2016-03-31;0.00019
2016-04-29;5.1e-05
2016-05-31;0.000115
2016-06-30;0.000188
2016-07-29;0.000171
2016-08-31;0.000165
2016-09-30;0.000219
2016-10-31;0.000168
2016-11-30;0.000136
2016-12-30;0.000239
2017-01-31;0.000358
2017-02-28;0.000364
2017-03-31;0.000353
2017-04-28;0.000537
2017-05-31;0.000614
2017-06-30;0.000617
2017-07-31;0.000722
2017-08-31;0.000827
2017-09-29;0.000944
2017-10-31;0.00084
2017-11-30;0.000826
2017-12-29;0.000884
2018-01-31;0.001121
2018-02-28;0.001073
2018-03-29;0.000261
2018-04-30;0.001433
2018-05-31;0.001401
2018-06-29;0.001408
2018-07-31;0.001558
2018-08-31;0.001575
2018-09-28;0.00149
2018-10-31;0.00189
2018-11-30;0.001795
2018-12-31;0.00193
2019-01-31;0.00192
2019-02-28;0.001809
2019-03-29;0.001935
2019-04-30;0.002125
2019-05-31;0.001983
2019-06-28;0.001853
2019-07-31;0.001783
2019-08-30;0.001908
2019-09-30;0.001787
2019-10-31;0.001531
2019-11-29;0.001197
2019-12-31;0.001431
2020-01-31;0.001164
2020-02-28;0.001208
2020-03-31;0.001268
2020-04-30;3e-06
2020-05-29;5.9e-05
2020-06-30;0.000111
2020-07-31;9.6e-05
2020-08-31;7.9e-05
2020-09-30;7.6e-05
2020-10-30;7.3e-05
2020-11-30;6.6e-05
2020-12-31;6e-05
2021-01-29;4.6e-05
2021-02-26;4.5e-05
2021-03-31;2.7e-05
2021-04-30;1.4e-05
2021-05-28;5e-06
2021-06-30;4e-06
2021-07-30;3.1e-05
2021-08-31;4.9e-05
2021-09-30;3.3e-05
2021-10-29;3.7e-05
2021-11-30;4.4e-05
2021-12-31;6.7e-05
2022-01-31;4.4e-05
2022-02-28;2.8e-05
2022-03-31;6e-05
2022-04-29;3.7e-05
2022-05-31;0.000307
2022-06-30;0.000567
2022-07-29;0.000812
2022-08-31;0.001901
2022-09-30;0.001929
2022-10-31;0.002327
2022-11-30;0.002856
2022-12-30;0.003379
2023-01-31;0.003506
2023-02-28;0.00345
2023-03-31;0.003638
2023-04-28;0.00364
2023-05-31;0.003662
2023-06-30;0.004078
2023-07-31;0.004391
2023-08-31;0.004537
2023-09-29;0.004267
2023-10-31;0.004715
2023-11-30;0.004424
2023-12-29;0.004266
2024-01-31;0.004729
2024-02-29;0.004224
2024-03-28;0.004157
2024-04-30;0.004864
2024-05-31;0.004415
2024-06-28;0.004125
2024-07-31;0.004711
2024-08-30;0.004419
2024-09-30;0.004619
2024-10-31;0.003907
2024-11-29;0.003955
2024-12-31;0.003663
